,Data,Título,Resumo,Autor(a)
13,"15 fev, 2023","Após troca de tiros, mulher é presa com diversos tabletes de maconha","Equipes do Comando do Policiamento Militar Especializado (CPME) prenderam uma ex-presidiária por tráfico de drogas no bairro Santa Maria, na Zona Sul de Aracaju. O caso aconteceu no início da manhã desta quarta-feira, 15.

De acordo…",João Paulo
14,"14 fev, 2023",Mulher é vítima de feminicídio e autor é preso em Canhoba,"Uma mulher foi vítima de homicídio e o autor do crime foi preso em flagrante no município de Canhoba, no fim da tarde da última segunda-feira, 13.

Segundo informações da Polícia Militar, uma guarnição foi solicitada pelo filho do…",Ana Beatriz
15,"13 fev, 2023",Mulher é presa acusada de aplicar golpe de R$ 340 mil em Aracaju,"Uma mulher foi presa acusada de aplicar um golpe com prejuízo estimado em R$ 340 mil, em Aracaju. De acordo com a Polícia Civil, a maior parte do valor do golpe envolveu a venda de um apartamento que está avaliado em R$ 320 mil. A…",Luana Maria
16,"10 fev, 2023",Mulher é presa em flagrante por furto no Centro Comercial de Aracaju,"https://youtu.be/YfpkJYvjakg

Uma mulher foi presa em flagrante nesta sexta-feira, 10, por furto no Centro Comercial de Aracaju. A ação criminosa foi registrada pelas câmeras de um dos estabelecimentos.

Nas imagens divulgadas pela…",Verlane Estácio
17,"10 fev, 2023",Homem é preso após coagir mulher e colocar fogo em sua casa,"Um homem foi preso acusado de coagir e colocar fogo na residência de uma mulher na tarde dessa quinta-feira, 9, no povoado Batula, município de Itabaiana.

De acordo com a Polícia Militar, a equipe foi acionada para atender a uma…",Luana Maria
18,"9 fev, 2023",Mulher é presa em flagrante com 25 quilos de maconha em Aracaju,"Militares do Regimento de Cavalaria Mecanizada de Motopatrulhamento (Getam) prenderam uma mulher por suspeita de tráfico ilícito de drogas, nessa quarta-feira (08), no Bairro Soledade, Zona Norte de Aracaju. Durante a ação, foram…",João Paulo
19,"6 fev, 2023",Mulheres de Peito lança Feira e Bazar da Mulher Empreendedora,"O Movimento Mulheres de Peito realizará, entre os dias 7 e 10 de fevereiro, o evento ""Feira e Bazar da Mulher Empreendedora"".

A feira e o bazar serão realizados  das 9h às 17h, na sede do Movimento Mulheres de Peito, que fica na…",Luana Maria
20,"6 fev, 2023",Mulher é morta a tiros no bairro Santo Antônio,"Uma mulher foi assassinada nesta segunda-feira, 6, na avenida Airton Teles, bairro Santo Antônio, Zona Norte da Capital.

De acordo com a Polícia Militar, a equipe foi acionada para atender a uma ocorrência de homicídio e, ao chegar…",Luana Maria
21,"6 fev, 2023",Corregedoria vai apurar agressão de PM contra mulher em Cristinápolis,"Vídeos que vêm circulando nas redes sociais desde a manhã segunda-feira, 6, mostram uma mulher sendo agredida por um Policial Militar durante a festa de cavalgada que ocorreu neste domingo, 5, no município de Cristinápolis.

No vídeo,…",João Paulo
22,"2 fev, 2023",Mulher é agredida e fere genital do companheiro para se defender,"Uma mulher de 32 anos foi vítima de violência doméstica e em uma tentativa de se defender, feriu o órgão genital de seu companheiro. Segundo informações da Polícia Civil, confirmadas nesta quinta-feira, 2, ela mora em Estância e chegou…",Ana Beatriz
23,"25 jan, 2023",Mulher é encontrada morta na Zona Rural de Ribeirópolis,"O corpo de uma mulher foi encontrado na zona rural de Ribeirópolis, na última terça-feira, 24. Segundo informações da Secretaria de Segurança Pública (SSP), antes do crime, ela estava acompanhada de outra mulher e um homem, que foi…",Ana Beatriz
24,"24 jan, 2023",Polícia investiga morte de mulher encontrada com tiro na cabeça,"O Departamento de Homicídios e Proteção à Pessoa (DHPP) já deu início a investigação para apurar a morte de uma mulher em um terreno, na Região Metropolitana da capital. Segundo a polícia, a mulher foi encontrada sem vida na manhã desta…",Aisla Vasconcelos
25,"24 jan, 2023",Mulher é encontrada morta com tiro na cabeça e sinais de agressão,"Uma mulher foi encontrada morta na rua H no loteamento Mangabeiras, localizada no bairro Jabotiana em Aracaju, nesta terça-feira, 24. Moradores da área afirmaram que a vítima não vive naquela localidade.

Segundo informações da…",Ana Beatriz
26,"24 jan, 2023",Mulher esfaqueada no pescoço pelo companheiro morre no Huse,"A mulher que foi esfaqueada na região do pescoço não resistiu aos ferimentos e veio a óbito após algumas horas internada no Hospital de Urgência de Sergipe - Gov. João Alves Filho (Huse). Segundo a unidade hospitalar, a vítima faleceu…",João Paulo
27,"23 jan, 2023",Mulher é esfaqueada no pescoço e companheiro é o principal suspeito,"Uma mulher foi vítima de uma tentativa de feminicídio na noite do último domingo, 22, na Avenida Engenheiro Jorge Neto, em Nossa Senhora da Glória. Segundo informações da Polícia Militar, o homem desferiu um golpe de faca no pescoço da…",Ana Beatriz
28,"19 jan, 2023",Mulher é presa acusada de praticar vários furtos em Cristinápolis,"Policiais civis da Delegacia de Cristinápolis deram cumprimento ao mandado de prisão preventiva contra uma mulher investigada pela prática de diversos furtos no município. A ação policial ocorreu nessa quarta-feira, 18.

De acordo com…",Luana Maria
29,"13 jan, 2023",Mulher é presa ao tentar abrir conta bancária com documento falso,"Policiais do Departamento de Crimes contra o Patrimônio (Depatri), com o apoio da 4ª Delegacia Metropolitana de Aracaju, prenderam em flagrante uma mulher suspeita de tentar abrir uma conta bancária com documento falso. A ação ocorreu…",Verlane Estácio
30,"11 jan, 2023",Rosário do Catete: mulher é presa em flagrante por tráfico de drogas,"A equipe de investigação da Delegacia de Rosário do Catete prendeu em flagrante uma mulher em posse de cigarros de substância semelhante à maconha sendo transportados para um bar. A ação policial ocorreu nesta quarta-feira, 11, após…",João Paulo
31,"11 jan, 2023",Mulher é perseguida por homem com facão no bairro Coroa do Meio,"Uma mulher foi agredida na Rua Professora Maria Pureza, localizada no bairro Coroa do Meio, na última terça-feira, 10. De acordo com a Polícia Militar, a vítima foi encontrada com ferimentos e teve que ser conduzida ao hospital com…",Ana Beatriz
32,"2 jan, 2023",Mulher é ferida com tesoura após briga com rival em Dores,"Policiais do 10º Batalhão da Polícia Militar (10º BPM) atenderam a uma ocorrência de vias de fato no povoado Campo Grande, em Nossa Senhora das Dores. A ação ocorreu por volta das 11h do dia 1º de janeiro.

Segundo informações da…",Luana Maria
33,"26 dez, 2022",Mulher é presa por agredir ex-mulher com tampa de panela de pressão,"Uma mulher de 31 anos, foi presa suspeita de agredir a ex-companheira, no bairro Santa Maria, Zona Sul da capital, na noite desse domingo, 25.

De acordo com a Polícia Militar, a prisão ocorreu no momento em que a equipe do batalhão…",Luana Maria
34,"19 dez, 2022",Mulher é agredida na frente dos filhos em Aracaju,"A Polícia Civil iniciou as investigações sobre um caso de violência doméstica no Bairro Inácio Barbosa. O caso ocorreu na última sexta-feira, 16, após uma briga de casal.

Segundo informações policiais, a vítima chegou a ser agredida…",Ana Beatriz
35,"26 nov, 2022",Mulher é suspeita de matar o marido a facadas após briga,"Um homem foi morto a facadas no povoado Areia Branca, na Zona de Expansão, na noite da sexta-feira, 25. A esposa da vítima é a suspeita de ter cometido o crime, após uma briga do casal.

De acordo com informações policiais, de posse…",Aisla Vasconcelos
36,"23 nov, 2022",Mulher é baleada com três tiros pelo ex-esposo no local de trabalho,"Uma mulher foi baleada com três disparos de arma de fogo enquanto trabalhava no Serviço Nacional de Aprendizagem Industrial (Senai), que fica localizado na Av. Tancredo Neves, em Aracaju. Segundo informações policiais, o crime ocorreu…",João Paulo
37,"22 nov, 2022",PM prende suspeito de tentar matar a ex-mulher em Malhador,"A Polícia Militar prendeu um homem por suspeita de tentativa de homicídio contra a ex-mulher no município de Malhador, região Agreste do estado. A ação policial ocorreu nessa segunda-feira, 21.

De acordo com as informações, os…",Ana Beatriz
38,"21 nov, 2022",PM atende ocorrência de agressão contra mulher em Aracaju,"Policiais Militares do Batalhão de Policiamento Turístico (BPTur) atenderam uma ocorrência de violência doméstica, neste domingo, 20, no bairro Coroa do Meio, Zona Sul de Aracaju.

De acordo com as informações, a equipe foi acionada…",Ana Beatriz
39,"18 nov, 2022",Homem que confessou ter matado mulher é preso em Riachão,"O homem acusado de matar a facadas a ex-companheira, na Zona Rural do município de Riachão do Dantas, foi preso preventivamente na manhã desta sexta-feira, 18. A informação foi divulgada pela Delegacia Regional do município. O crime…",Luana Maria
40,"11 nov, 2022",Homem é condenado a 30 anos de prisão por matar ex-mulher em Pirambu,"O julgamento de um homem, de iniciais J.M.S, acusado de matar com arma branca a ex-companheira, no povoado Lagoa Redonda, no município de Pirambu, em 2020, ocorreu nesta sexta-feira, 11, no Tribunal do Júri do município de Japaratuba. O …",Luana Maria
41,"7 nov, 2022",Mulher é atingida com machado após briga de vizinhas em Frei Paulo,"Uma discussão entre vizinhas terminou com uma mulher ferida gravemente na noite do último sábado, 5, no município de Frei Paulo. A equipe da Polícia Militar foi acionada para o local e encontrou uma das envolvidas caída na calçada de um…",Ana Beatriz
42,"26 out, 2022",Acusado de agredir a mulher e mantê-la em cárcere é preso no Robalo,"Um homem foi preso nesta quarta-feira, 26, acusado por agredir sua companheira e mantê-la, junto com seu filho, em cárcere privado no bairro Robalo, Zona de Expansão da capital.

De acordo com o Batalhão de Policiamento de Turismo…",Luana Maria
43,"17 out, 2022",Mulher é morta a tiros dentro de posto de saúde em Maruim,"Uma mulher identificada como Ângela Maria dos Santo foi morta a tiros na manhã desta segunda-feira, 17, em um posto de saúde, localizado no povoado Pau Ferro, município de Maruim.

Segundo relato da Polícia Militar, acionada após o…",Luana Maria
44,"12 out, 2022",Polícia Militar prende homem acusado de agredir mulher em Lagarto,"Na tarde dessa terça-feira, militares do 7° Batalhão de Polícia Militar (7° BPM) prenderam um indivíduo pela Lei Maria da Penha no Município de Lagarto, em Sergipe.

A vítima deslocou-se até a sede do batalhão e manteve contato com os…",Verlane Estácio
45,"7 out, 2022",Mulher é presa suspeita de tráfico de drogas e receptação em Estância,"Policiais civis da Delegacia Regional de Estância prenderam em flagrante uma mulher suspeita de cometer os crimes de tráfico de drogas e receptação dolosa no bairro Porto da Areia. A ação policial ocorreu na tarde dessa quinta-feira, 6.…",Aisla Vasconcelos
46,"5 out, 2022",Mulher é morta com golpes de faca; ex-companheiro é suspeito do crime,"Uma mulher foi assassinada com golpes de faca nas primeiras horas da manhã desta quarta-feira, 5, no município de Nossa Senhora do Socorro, Grande Aracaju. O principal suspeito do crime é o ex-companheiro da vítima, que não aceitava o…",João Paulo
47,"2 out, 2022",Mulher é detida por suspeita de boca de urna em Laranjeiras,"Uma mulher foi encaminhada à delegacia na manhã deste domingo, 2, acusada de de fazer boca de urna na cidade de Laranjeiras, região da Grande Aracaju.  A prática é considerada crime pela legislação eleitoral.

De acordo com a Polícia…",Verlane Estácio
48,"23 set, 2022",Suspeito morre após agredir mulher e tentar atear fogo em casa,"Um homem morreu na manhã desta sexta-feira, 23, após espancar uma mulher, tentar atear fogo em uma residência com ela dentro, ferir uma policial militar e tentar ferir um outro agente. O incidente aconteceu por volta das 8h, no…",Luana Maria
49,"22 set, 2022",Mulher é presa suspeita de agredir os próprios filhos em Lagarto,"Policiais militares do 7º Batalhão prenderam, na tarde dessa quarta-feira, 21, uma mulher por suspeita de cometer maus-tratos contra seus filhos no Povoado Brasília, zona rural do município de Lagarto.

A suspeita foi denunciada por…",Aisla Vasconcelos
