,Data,Título,Resumo,Autor(a),Análise de Voz Verbal
31,"14 mar, 2023",Homem é preso suspeito de ameaçar e perseguir companheira em Glória,"Um homem foi preso suspeito de ameaçar e perseguir a companheira em Nossa Senhora da Glória, na noite da última segunda-feira, 13.

Segundo informações da Polícia Militar, a pessoa que efetuou a denúncia relatou que a filha da vítima…",Ana Beatriz, Homem é preso (Voz PASSIVA) suspeito de ameaçar (Voz ATIVA) e perseguir (Voz ATIVA) companheira em Glória
32,"13 mar, 2023",Homem é preso pela sexta vez por furtos a lojas do Centro da capital,Policiais civis prenderam Erick Matheus de Jesus França por furto a uma farmácia na região central de Aracaju. É a sexta vez que ele é preso pelo crime de furto a estabelecimento comercial. A informação foi divulgada nesta…,Luana Maria, Homem é preso (Voz PASSIVA) pela sexta vez por furtos a lojas do Centro da capital
33,"13 mar, 2023",Homem é assassinado com tiros no rosto no conjunto Orlando Dantas,"Um homem foi assassinado com tiros no rosto e parte da cabeça, em frente a um estabelecimento comercial, localizado na Avenida Gasoduto, no Conjunto Orlando Dantas em Aracaju, na manhã desta segunda-feira, 13.

Segundo informações da…",Ana Beatriz, Homem é assassinado (Voz PASSIVA) com tiros no rosto no conjunto Orlando Dantas
34,"13 mar, 2023",Homem é morto nas proximidades de um supermercado no Santa Maria,"Um homem morreu após ser atingido por disparos de arma de fogo nas proximidades de um supermercado, localizado no bairro Santa Maria, no último domingo, 12.

Segundo informações da Polícia Militar, a vítima estava caída no chão quando…",Ana Beatriz, Homem é morto (Voz PASSIVA) nas proximidades de um supermercado no Santa Maria
35,"13 mar, 2023",Homem é preso por tráfico de drogas e porte ilegal de arma de fogo,"Policiais militares do Comando do Policiamento Militar Especializado (CPME) prenderam um suspeito de tráfico de drogas e porte ilegal de arma de fogo, nesse domingo, 12, no bairro Dom Luciano, zona norte de Aracaju.

Segundo…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) por tráfico de drogas e porte ilegal de arma de fogo
36,"11 mar, 2023",Homem é preso por ameaçar a companheira com uma faca,"Militares da Força Tática do 1º Batalhão de Polícia Militar (1º BPM) prenderam um homem por suspeita de violência doméstica na comunidade Malvinas, Bairro Aeroporto, Zona Sul da capital. A prisão ocorreu na madrugada desta sexta-feira,…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) por ameaçar (Voz ATIVA) a companheira com uma faca
37,"10 mar, 2023",Homem é morto com disparos de arma de fogo em praça de Laranjeiras,"Um homem foi vítima de homicídio na praça Marcolino Ezequiel, no município de Laranjeiras, no final da tarde desta quinta-feira, 9.

Segundo informações da Polícia Militar, a vítima foi encontrada caída ao solo com perfurações por…",Ana Beatriz, Homem é morto (Voz PASSIVA) com disparos de arma de fogo em praça de Laranjeiras
38,"8 mar, 2023",Homem é preso por furtar cobre de cavalo mecânico de petrolífera,"A Delegacia Regional de Carmópolis cumpre mandado de prisão preventiva contra suspeito pelo crime de furto qualificado de cobre do motor do cavalo mecânico de uma petrolífera, no dia 28 de maio de 2022, em Carmópolis. A ação ocorreu na…",Verlane Estácio, Homem é preso (Voz PASSIVA) por furtar (Voz ATIVA) cobre de cavalo mecânico de petrolífera
39,"8 mar, 2023","Homem é preso por ferir e ameaçar a irmã, o sobrinho e o cunhado","Um homem de 38 anos foi preso em flagrante após agredir e ameaçar de morte sua irmã, sobrinho e cunhado no município de Estância. A Guarda Municipal foi responsável pela detenção do indivíduo, em ação policial divulgada nesta…",Ana Beatriz," Homem é preso (Voz PASSIVA) por ferir (Voz ATIVA) e ameaçar (Voz ATIVA) a irmã , o sobrinho e o cunhado"
40,"8 mar, 2023",Homem é preso suspeito de estuprar a filha e a enteada em Estância,"Um homem de 41 anos foi preso por estupro de vulnerável contra a filha e a enteada. O mandado de prisão foi cumprido no âmbito da Operação Átria nesta terça-feira, 7.

De acordo com a delegada Marcela de Almeida Souza, a filha do…",João Paulo, Homem é preso (Voz PASSIVA) suspeito de estuprar (Voz ATIVA) a filha e a enteada em Estância
41,"8 mar, 2023",Homem é preso com quase 10kg de maconha na saída de Aracaju,"Um homem foi preso em flagrante por suspeita de tráfico de drogas na Avenida Lauro Porto, entre Aracaju e Nossa Senhora do Socorro, nesta última terça-feira, 7. Foram apreendidos 10kg de entorpecente que o indivíduo carregava.

A…",Ana Beatriz, Homem é preso (Voz PASSIVA) com quase 10 kg de maconha na saída de Aracaju
42,"7 mar, 2023",Homem é preso acusado de perseguir e ameaçar ex-namorada em Lagarto,"Um homem foi preso nesta terça-feira, 07, em Lagarto acusado de perseguir a ex-namorada e violar medida protetiva de urgência. A prisão foi efetuada por policiais da Delegacia de Atendimento a Grupos Vulneráveis (DAGV) de Lagarto

De…",Verlane Estácio, Homem é preso (Voz PASSIVA) acusado (Voz ATIVA) de perseguir (Voz ATIVA) e ameaçar (Voz ATIVA) ex-namorada em Lagarto
43,"7 mar, 2023",Homem é morto com tiros na cabeça na calçada de casa em Capela,"Um homem foi alvejado a tiros de arma de fogo na calçada de uma residência, localizada na rua Maria Zélia Santana Rosa em Capela, na noite da última segunda-feira, 06.

Segundo informações da Polícia Militar, a vítima foi atingida…",Ana Beatriz, Homem é morto (Voz PASSIVA) com tiros na cabeça na calçada de casa em Capela
44,"6 mar, 2023",Homem é preso por pilotar moto embriagado e usar documento falso,"Um homem  foi preso na manhã desta segunda-feira, 6, por pilotar motocicleta após ingestão de bebidas alcoólicas e portar documento de habilitação falso. O fato ocorreu em Ribeirópolis e a prisão foi efetuada pelas Polícias Civil e…",Verlane Estácio, Homem é preso (Voz PASSIVA) por pilotar (Voz ATIVA) moto embriagado (Voz ATIVA) e usar (Voz ATIVA) documento falso
45,"6 mar, 2023",Homem é assassinado enquanto comprava lanche no bairro Lamarão,"Um homem foi assassinado enquanto comprava um lanche em um estabelecimento comercial na Avenida Paulo Figueiredo Barreto, no bairro Lamarão, na noite do último domingo, 05.

Segundo informações da Polícia Militar, a vítima estava…",Ana Beatriz, Homem é assassinado (Voz PASSIVA) enquanto comprava (Voz ATIVA) lanche no bairro Lamarão
46,"6 mar, 2023",Homem é preso por tentativa de homicídio contra mulher e filhos,"Uma ação conjunta entre as polícias Civil e Militar resultou no cumprimento do mandado de prisão de um homem investigado por tentativa de homicídio contra uma mulher e seus filhos em dezembro de 2022, em Porto da Folha. A ação policial…",Aisla Vasconcelos, Homem é preso (Voz PASSIVA) por tentativa de homicídio contra mulher e filhos
47,"5 mar, 2023",Homem é preso por agredir companheira com cabo de vassoura em Socorro,Equipes da 3ª Companhia do 5º Batalhão de Polícia Militar (3ª Cia/5º BPM) prenderam um homem suspeito de agredir a própria companheira com um cabo de vassoura no município de Nossa Senhora do Socorro. O flagrante foi registrado na…,Verlane Estácio, Homem é preso (Voz PASSIVA) por agredir (Voz ATIVA) companheira com cabo de vassoura em Socorro
48,"3 mar, 2023",Homem é preso após ser flagrado agredindo mulher no Centro de Aracaju,"A Polícia Militar prendeu um homem em flagrante por violência contra a mulher na região central de Aracaju. As imagens foram divulgadas nesta sexta-feira, 3.

Nas imagens monitoradas em tempo real pelo Ciosp, os operadores da unidade…",João Paulo, Homem é preso (Voz PASSIVA) após ser flagrado (Voz PASSIVA) agredindo (Voz ATIVA) mulher no Centro de Aracaju
49,"2 mar, 2023",Homem é preso após ameaçar parente com arma de fogo em Estância,"Militares do 6º Batalhão de Polícia Militar (6º BPM) prenderam um homem por posse irregular de arma de fogo em Estância, região Centro-Sul de Sergipe. A prisão ocorreu na noite dessa quarta-feira, 01.

Segundo as informações, a equipe…",Ana Beatriz, Homem é preso (Voz PASSIVA) após ameaçar (Voz ATIVA) parente com arma de fogo em Estância
