,Data,Título,Resumo,Autor(a),Análise de Voz Verbal
26,"24 jan, 2023",Mulher esfaqueada no pescoço pelo companheiro morre no Huse,"A mulher que foi esfaqueada na região do pescoço não resistiu aos ferimentos e veio a óbito após algumas horas internada no Hospital de Urgência de Sergipe - Gov. João Alves Filho (Huse). Segundo a unidade hospitalar, a vítima faleceu…",João Paulo, Mulher esfaqueada (Voz ATIVA) no pescoço pelo companheiro morre (Voz ATIVA) no Huse
27,"23 jan, 2023",Mulher é esfaqueada no pescoço e companheiro é o principal suspeito,"Uma mulher foi vítima de uma tentativa de feminicídio na noite do último domingo, 22, na Avenida Engenheiro Jorge Neto, em Nossa Senhora da Glória. Segundo informações da Polícia Militar, o homem desferiu um golpe de faca no pescoço da…",Ana Beatriz, Mulher é esfaqueada (Voz PASSIVA) no pescoço e companheiro é o principal suspeito
28,"19 jan, 2023",Mulher é presa acusada de praticar vários furtos em Cristinápolis,"Policiais civis da Delegacia de Cristinápolis deram cumprimento ao mandado de prisão preventiva contra uma mulher investigada pela prática de diversos furtos no município. A ação policial ocorreu nessa quarta-feira, 18.

De acordo com…",Luana Maria, Mulher é presa (Voz PASSIVA) acusada (Voz ATIVA) de praticar (Voz ATIVA) vários furtos em Cristinápolis
29,"13 jan, 2023",Mulher é presa ao tentar abrir conta bancária com documento falso,"Policiais do Departamento de Crimes contra o Patrimônio (Depatri), com o apoio da 4ª Delegacia Metropolitana de Aracaju, prenderam em flagrante uma mulher suspeita de tentar abrir uma conta bancária com documento falso. A ação ocorreu…",Verlane Estácio, Mulher é presa (Voz PASSIVA) ao tentar (Voz ATIVA) abrir (Voz ATIVA) conta bancária com documento falso
30,"11 jan, 2023",Rosário do Catete: mulher é presa em flagrante por tráfico de drogas,"A equipe de investigação da Delegacia de Rosário do Catete prendeu em flagrante uma mulher em posse de cigarros de substância semelhante à maconha sendo transportados para um bar. A ação policial ocorreu nesta quarta-feira, 11, após…",João Paulo, Rosário do Catete : mulher é presa (Voz PASSIVA) em flagrante por tráfico de drogas
31,"11 jan, 2023",Mulher é perseguida por homem com facão no bairro Coroa do Meio,"Uma mulher foi agredida na Rua Professora Maria Pureza, localizada no bairro Coroa do Meio, na última terça-feira, 10. De acordo com a Polícia Militar, a vítima foi encontrada com ferimentos e teve que ser conduzida ao hospital com…",Ana Beatriz, Mulher é perseguida (Voz PASSIVA) por homem com facão no bairro Coroa do Meio
32,"2 jan, 2023",Mulher é ferida com tesoura após briga com rival em Dores,"Policiais do 10º Batalhão da Polícia Militar (10º BPM) atenderam a uma ocorrência de vias de fato no povoado Campo Grande, em Nossa Senhora das Dores. A ação ocorreu por volta das 11h do dia 1º de janeiro.

Segundo informações da…",Luana Maria, Mulher é ferida (Voz PASSIVA) com tesoura após briga com rival em Dores
33,"26 dez, 2022",Mulher é presa por agredir ex-mulher com tampa de panela de pressão,"Uma mulher de 31 anos, foi presa suspeita de agredir a ex-companheira, no bairro Santa Maria, Zona Sul da capital, na noite desse domingo, 25.

De acordo com a Polícia Militar, a prisão ocorreu no momento em que a equipe do batalhão…",Luana Maria, Mulher é presa (Voz PASSIVA) por agredir (Voz ATIVA) ex-mulher com tampa de panela de pressão
34,"19 dez, 2022",Mulher é agredida na frente dos filhos em Aracaju,"A Polícia Civil iniciou as investigações sobre um caso de violência doméstica no Bairro Inácio Barbosa. O caso ocorreu na última sexta-feira, 16, após uma briga de casal.

Segundo informações policiais, a vítima chegou a ser agredida…",Ana Beatriz, Mulher é agredida (Voz PASSIVA) na frente dos filhos em Aracaju
35,"26 nov, 2022",Mulher é suspeita de matar o marido a facadas após briga,"Um homem foi morto a facadas no povoado Areia Branca, na Zona de Expansão, na noite da sexta-feira, 25. A esposa da vítima é a suspeita de ter cometido o crime, após uma briga do casal.

De acordo com informações policiais, de posse…",Aisla Vasconcelos, Mulher é suspeita de matar (Voz ATIVA) o marido a facadas após briga
36,"23 nov, 2022",Mulher é baleada com três tiros pelo ex-esposo no local de trabalho,"Uma mulher foi baleada com três disparos de arma de fogo enquanto trabalhava no Serviço Nacional de Aprendizagem Industrial (Senai), que fica localizado na Av. Tancredo Neves, em Aracaju. Segundo informações policiais, o crime ocorreu…",João Paulo, Mulher é baleada (Voz PASSIVA) com três tiros pelo ex-esposo no local de trabalho
37,"22 nov, 2022",PM prende suspeito de tentar matar a ex-mulher em Malhador,"A Polícia Militar prendeu um homem por suspeita de tentativa de homicídio contra a ex-mulher no município de Malhador, região Agreste do estado. A ação policial ocorreu nessa segunda-feira, 21.

De acordo com as informações, os…",Ana Beatriz, PM prende (Voz ATIVA) suspeito de tentar (Voz ATIVA) matar (Voz ATIVA) a ex-mulher em Malhador
38,"21 nov, 2022",PM atende ocorrência de agressão contra mulher em Aracaju,"Policiais Militares do Batalhão de Policiamento Turístico (BPTur) atenderam uma ocorrência de violência doméstica, neste domingo, 20, no bairro Coroa do Meio, Zona Sul de Aracaju.

De acordo com as informações, a equipe foi acionada…",Ana Beatriz, PM atende (Voz ATIVA) ocorrência de agressão contra mulher em Aracaju
39,"18 nov, 2022",Homem que confessou ter matado mulher é preso em Riachão,"O homem acusado de matar a facadas a ex-companheira, na Zona Rural do município de Riachão do Dantas, foi preso preventivamente na manhã desta sexta-feira, 18. A informação foi divulgada pela Delegacia Regional do município. O crime…",Luana Maria, Homem que confessou (Voz ATIVA) ter matado (Voz ATIVA) mulher é preso (Voz PASSIVA) em Riachão
40,"11 nov, 2022",Homem é condenado a 30 anos de prisão por matar ex-mulher em Pirambu,"O julgamento de um homem, de iniciais J.M.S, acusado de matar com arma branca a ex-companheira, no povoado Lagoa Redonda, no município de Pirambu, em 2020, ocorreu nesta sexta-feira, 11, no Tribunal do Júri do município de Japaratuba. O …",Luana Maria, Homem é condenado (Voz PASSIVA) a 30 anos de prisão por matar (Voz ATIVA) ex-mulher em Pirambu
41,"7 nov, 2022",Mulher é atingida com machado após briga de vizinhas em Frei Paulo,"Uma discussão entre vizinhas terminou com uma mulher ferida gravemente na noite do último sábado, 5, no município de Frei Paulo. A equipe da Polícia Militar foi acionada para o local e encontrou uma das envolvidas caída na calçada de um…",Ana Beatriz, Mulher é atingida (Voz PASSIVA) com machado após briga de vizinhas em Frei Paulo
42,"26 out, 2022",Acusado de agredir a mulher e mantê-la em cárcere é preso no Robalo,"Um homem foi preso nesta quarta-feira, 26, acusado por agredir sua companheira e mantê-la, junto com seu filho, em cárcere privado no bairro Robalo, Zona de Expansão da capital.

De acordo com o Batalhão de Policiamento de Turismo…",Luana Maria, Acusado (Voz ATIVA) de agredir (Voz ATIVA) a mulher e mantê-la (Voz ATIVA) em cárcere é preso (Voz PASSIVA) no Robalo
43,"17 out, 2022",Mulher é morta a tiros dentro de posto de saúde em Maruim,"Uma mulher identificada como Ângela Maria dos Santo foi morta a tiros na manhã desta segunda-feira, 17, em um posto de saúde, localizado no povoado Pau Ferro, município de Maruim.

Segundo relato da Polícia Militar, acionada após o…",Luana Maria, Mulher é morta (Voz PASSIVA) a tiros dentro de posto de saúde em Maruim
44,"12 out, 2022",Polícia Militar prende homem acusado de agredir mulher em Lagarto,"Na tarde dessa terça-feira, militares do 7° Batalhão de Polícia Militar (7° BPM) prenderam um indivíduo pela Lei Maria da Penha no Município de Lagarto, em Sergipe.

A vítima deslocou-se até a sede do batalhão e manteve contato com os…",Verlane Estácio, Polícia Militar prende (Voz ATIVA) homem acusado (Voz ATIVA) de agredir (Voz ATIVA) mulher em Lagarto
45,"7 out, 2022",Mulher é presa suspeita de tráfico de drogas e receptação em Estância,"Policiais civis da Delegacia Regional de Estância prenderam em flagrante uma mulher suspeita de cometer os crimes de tráfico de drogas e receptação dolosa no bairro Porto da Areia. A ação policial ocorreu na tarde dessa quinta-feira, 6.…",Aisla Vasconcelos, Mulher é presa (Voz PASSIVA) suspeita de tráfico de drogas e receptação em Estância
46,"5 out, 2022",Mulher é morta com golpes de faca; ex-companheiro é suspeito do crime,"Uma mulher foi assassinada com golpes de faca nas primeiras horas da manhã desta quarta-feira, 5, no município de Nossa Senhora do Socorro, Grande Aracaju. O principal suspeito do crime é o ex-companheiro da vítima, que não aceitava o…",João Paulo, Mulher é morta (Voz PASSIVA) com golpes de faca ; ex-companheiro é suspeito do crime
47,"2 out, 2022",Mulher é detida por suspeita de boca de urna em Laranjeiras,"Uma mulher foi encaminhada à delegacia na manhã deste domingo, 2, acusada de de fazer boca de urna na cidade de Laranjeiras, região da Grande Aracaju.  A prática é considerada crime pela legislação eleitoral.

De acordo com a Polícia…",Verlane Estácio, Mulher é detida (Voz PASSIVA) por suspeita de boca de urna em Laranjeiras
48,"23 set, 2022",Suspeito morre após agredir mulher e tentar atear fogo em casa,"Um homem morreu na manhã desta sexta-feira, 23, após espancar uma mulher, tentar atear fogo em uma residência com ela dentro, ferir uma policial militar e tentar ferir um outro agente. O incidente aconteceu por volta das 8h, no…",Luana Maria, Suspeito morre (Voz ATIVA) após agredir (Voz ATIVA) mulher e tentar (Voz ATIVA) atear (Voz ATIVA) fogo em casa
49,"22 set, 2022",Mulher é presa suspeita de agredir os próprios filhos em Lagarto,"Policiais militares do 7º Batalhão prenderam, na tarde dessa quarta-feira, 21, uma mulher por suspeita de cometer maus-tratos contra seus filhos no Povoado Brasília, zona rural do município de Lagarto.

A suspeita foi denunciada por…",Aisla Vasconcelos, Mulher é presa (Voz PASSIVA) suspeita de agredir (Voz ATIVA) os próprios filhos em Lagarto
